Postcode,A,B,C,D,E,F,G,H,I,J,K,L,M,N,A01,A02,A03,A04,B05,B06,B07,C08,C09,C10,D11,D12,D13,E14,E15,E16,F17,F18,F19,G20,G21,G22,G23,H24,H25,H26,H27,I28,I29,I30,J31,J32,J33,J34,K35,K36,K37,L38,L39,L40,L41,L42,M43,M44,M45,M46,M47,N48,N49,N50,N51
0800,11,,2816,1,,41,1300,3,,,21,1,2,3,,,11,,,,,9,,2807,1,,,,,,1,,40,1233,,67,,,,,3,,,,,,,,21,,,,,1,,,,1,1,,,1,,2,
0810,225,3423,,529,308,3137,1421,132,2273,18,1485,353,407,1,10,209,6,,1238,1975,210,,,,528,,1,32,274,2,472,19,2646,1309,45,67,,123,1,,8,920,1353,,,,17,1,211,933,341,6,2,345,,,,105,217,79,6,1,,,
0812,71,1649,,187,166,902,6,192,2669,111,655,217,239,10,,71,,,2,823,824,,,,187,,,48,109,9,32,,870,,,6,,90,92,,10,1106,1562,1,,,111,,11,459,185,2,35,180,,,,45,142,46,6,10,,,
0820,784,455,585,115,96,4763,2284,121,140,198,959,55,224,4,53,661,70,,,455,,443,1,141,114,,1,,95,1,1182,,3581,1752,,532,,121,,,,62,78,,195,,3,,739,86,134,3,,52,,,,17,101,102,4,4,,,
0822,3,,,43,441,1,2,356,6,7,15,3,83,2948,,,3,,,,,,,,2,,41,,18,423,,,1,,,2,,115,,,241,1,2,3,,,6,1,,11,4,1,,,,2,,3,77,,3,2247,94,600,7
0828,55,5,,3,83,31,104,175,20,1,257,13,51,51,2,5,48,,,5,,,,,3,,,,7,76,2,,29,,,104,,173,,,2,18,,2,,,,1,79,49,129,2,,11,,,,,47,,4,48,,3,
0829,5,,,3,18,,17,30,,,39,,52,48,,3,2,,,,,,,,1,,2,,1,17,,,,,,17,,28,,,2,,,,,,,,,31,8,,,,,,,2,50,,,48,,,
0830,4,2108,,22,232,667,62,1069,1524,222,743,775,274,13,,1,3,,223,201,1684,,,,18,,4,1,110,121,,294,373,,,62,,248,786,,35,881,642,1,,,221,1,2,424,317,28,340,392,,15,,20,224,,30,10,,3,
0832,,2685,,1,48,1317,204,1003,700,22,1335,94,112,2,,,,,619,232,1834,,,,1,,,,47,1,,876,441,,,,204,380,44,,579,391,305,4,,,21,1,8,551,776,7,7,78,,2,,16,91,2,3,2,,,
0834,,,,,316,,,,5,1,2,,6,48,,,,,,,,,,,,,,,19,297,,,,,,,,,,,,4,1,,,,1,,,2,,,,,,,,,6,,,48,,,
0835,,,,,704,,,6,11,7,5,,8,12,,,,,,,,,,,,,,,24,680,,,,,,,,6,,,,4,7,,6,,1,,,4,1,,,,,,,2,6,,,12,,,
0836,,1,,,1602,,,30,5,11,3,9,9,168,,,,,,,1,,,,,,,,23,1579,,,,,,,,6,,,24,2,,3,,,9,2,,3,,3,,6,,,,1,6,,2,167,,,1
0837,,,,,1,,,,,,,,,72,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,1,
0838,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,
0839,,9,,2,24,2,,21,11,6,74,,12,1,,,,,,3,6,,,,2,,,,,24,,1,1,,,,,8,1,,12,10,1,,,,6,,,70,4,,,,,,,,7,5,,1,,,
0840,,,,,,,,,,,,,,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,494,
0841,,,,,3,,,,,,,,,385,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,
0845,,,,,,,,41,1,5,,51,3,152,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,1,,,,5,,,,51,,,,,,,1,,2,7,,142,3
0846,,,,2,,,,,2,,,4,,183,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,58,,118,7
0847,,,,,,,,,,1,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,35,87
0850,,4,,,4,,71,757,535,780,2,293,128,454,,,,,,,4,,,,,,,,,4,,,,,,71,,,81,,676,47,,488,734,,2,44,,2,,264,,29,,,,11,19,,98,419,,17,18
0852,,,,,3,,22,11,1,6,,2,7,857,,,,,,,,,,,,,,,,3,,,,,,22,,,,,11,,,1,6,,,,,,,,,,,2,,,1,,6,562,155,113,27
0853,,,,,,,,,,178,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,,,,,,62,,,
0854,,,,,,,,2,1,1,,2,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,2,,,,,,,,,,6,,1,114
0860,,,,,,,,644,19,203,,439,40,38,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,19,168,,,35,,,,347,,92,,,,,1,,39,25,,2,11
0862,,,,,,,,5,1,34,,4,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,34,,,,,,,4,,,,,,,,,,24,48,99,3
0870,5,1047,,57,176,882,747,539,1035,3612,193,61,134,18,,5,,,5,137,905,,,,56,,1,51,85,40,81,7,794,,,747,,23,1,,515,212,224,599,3611,,,1,23,128,42,,,3,23,35,,44,75,,15,14,,3,1
0872,,,,,,,131,5,,281,,56,,611,,,,,,,,,,,,,,,,,,,,,,131,,,,,5,,,,281,,,,,,,,,,,56,,,,,,265,290,55,1
0873,,,,,204,,,,,5,,58,,31,,,,,,,,,,,,,,,1,203,,,,,,,,,,,,,,,5,,,,,,,,,,23,35,,,,,,26,,1,4
0874,,,,,,104,,,,239,2,,2,,,,,,,,,,,,,,,,,,1,,103,,,,,,,,,,,,239,,,,,2,,,,,,,,,2,,,,,,
0875,,56,,1,2,,9,111,107,692,,4,10,,,,,,,,56,,,,1,,,,2,,,,,,,9,,,4,,107,19,7,81,692,,,,,,,4,,,,,,1,9,,,,,,
0880,,1,,,1,,2,12,185,383,,1,,146,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,12,1,,184,383,,,,,,,1,,,,,,,,,,135,,11,
0885,,,,,,,,,5,125,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,125,,,,,,,,,,,,,,,,,4,,14,
0886,,,,,,,,44,26,69,,24,5,297,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,26,69,,,,,,,24,,,,,,,,,5,277,1,19,
2000,1226,,13061,,,,2876,218,,,,,,,23,,1203,,,,,1138,6,11917,,,,,,,,,,,,92,2784,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2,,3484,,,,2116,3,,,18,66,,,,,2,,,,,1,282,3201,,,,,,,,,,103,,,2013,3,,,,,,,,,,,18,,,,,,66,,,,,,,,,,
2008,4,,3020,,,,3625,,,,,,,,,,4,,,,,121,666,2233,,,,,,,,,,20,,,3605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,800,,5954,,,,,,,,15,4,,,,,800,,,,,1467,138,4349,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,4,,,,,,,,,,
2010,463,,16147,,,,33,,,,7,698,,,,,463,,,,,2549,1275,12323,,,,,,,,,,32,,,1,,,,,,,,,,,,7,,,,,,698,,,,,,,,,,
2011,642,,12830,,,8,48,8,,,52,349,4,,,,642,,,,,787,17,12026,,,,,,,,,8,48,,,,8,,,,,,,,,,,52,,,,,,349,,,,4,,,,,,
2015,8,,6117,1,,65,14,60,,,153,,19,,1,,7,,,,,917,2616,2584,,1,,,,,,,65,13,,,1,60,,,,,,,,,,,64,,89,,,,,,,,19,,,,,,
2016,36,,5476,,,,403,,,,1,1418,1,,,,36,,,,,685,2255,2536,,,,,,,,,,111,,,292,,,,,,,,,,,,1,,,,,,1418,,,,1,,,,,,
2017,1,,13052,,,21,1782,186,,,676,2658,,,,,1,,,,,940,449,11663,,,,,,,,,21,179,,,1603,186,,,,,,,,,,,676,,,,,,2658,,,,,,,,,,
2018,342,53,4369,1650,26,72,426,1761,,,222,673,5,,22,,29,291,,53,,414,160,3795,,1650,,,26,,42,,30,16,408,2,,86,,1675,,,,,,,,,213,1,8,,,,673,,1,,4,,,,,,
2019,370,361,794,1282,52,1064,834,454,1,3,361,22,66,,1,,3,366,42,319,,781,,13,10,1271,1,3,49,,961,,103,461,355,5,13,254,,199,1,,1,,,3,,,182,11,168,,,,22,,1,6,54,5,,,,,
2020,118,56,2796,1709,26,166,4029,552,,1,629,2,17,,2,,4,112,,56,,,86,2710,2,1707,,,26,,47,,119,577,3378,,74,63,,489,,,,,,1,,,588,,41,,,,2,,4,,13,,,,,,
2021,2337,,5621,,,1,,,,,,,,,126,,2211,,,,,4834,1,786,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1783,,5081,,,17,233,6,,,36,,10,,453,107,901,322,,,,2344,388,2349,,,,,,,17,,,157,76,,,6,,,,,,,,,,,29,,7,,,,,,,,10,,,,,,
2023,2347,,2507,,,,1,,,,,,,,1468,132,729,18,,,,2507,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1911,1,2810,,,9,4,,,,11,,70,,715,75,955,166,,1,,2751,1,58,,,,,,,9,,,4,,,,,,,,,,,,,,,11,,,,,,,,,,,70,,,,,
2025,1889,,1875,,,,,,,,,,271,,293,31,1563,2,,,,1853,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,,
2026,2989,,13814,,,24,118,,,,20,,48,,696,43,1961,289,,,,13490,1,323,,,,,,,24,,,118,,,,,,,,,,,,,,,20,,,,,,,,,,,48,,,,,
2027,2302,,2621,,,,,,,,,,,,264,6,2029,3,,,,2367,2,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,947,,1621,,,,,,,,3,,,,249,9,679,10,,,,1616,,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
2029,2029,,2568,3,,137,41,,,,37,,10,,686,129,1112,102,,,,2556,,12,,3,,,,,137,,,41,,,,,,,,,,,,,,,37,,,,,,,,,,,10,,,,,
2030,3871,1,1243,3,,242,,,,,,,5,,2845,368,502,156,,1,,1243,,,,3,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
2031,3441,3,11560,6,,70,1134,24,,,118,,194,,883,109,1956,493,,3,,11014,8,538,1,5,,,,,70,,,1029,,,105,24,,,,,,,,,,,118,,,,,,,,,1,,193,,,,,
2032,1382,10,78,310,8,441,3206,7,,,776,502,5,,194,,266,922,,10,,77,1,,,310,,,8,,421,,20,585,29,,2592,5,,2,,,,,,,,,776,,,,,,502,,,,5,,,,,,
2033,1092,,1276,7,,183,3123,,,,101,,,,375,58,431,228,,,,948,16,312,,7,,,,,183,,,2269,27,,827,,,,,,,,,,,,101,,,,,,,,,,,,,,,,
2034,2372,6,7168,11,,24,,,,,,586,,,805,162,847,558,,6,,7168,,,,11,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,586,,,,,,,,,,
2035,5737,86,1707,768,53,1449,3136,66,1,1,1237,749,259,,830,99,454,4354,,86,,1395,,312,2,766,,1,52,,1248,,201,1791,1331,,14,11,,55,,,1,,,1,,,1237,,,,,,749,,,,90,169,,,,,
2036,3658,284,1089,1992,200,506,1554,2586,1,31,364,956,102,1,121,,95,3442,,284,,1067,,22,26,1964,2,4,194,2,390,,116,398,1156,,,151,,2435,,,1,,,31,,,336,8,20,,,,944,12,16,,81,5,,1,,,
2037,573,,7138,,,6,1032,19,,,16,926,3,,39,21,513,,,,,3448,958,2732,,,,,,,6,,,792,,,240,19,,,,,,,,,,,16,,,,,,926,,,,,3,,,,,
2038,588,,3659,,,11,225,,,,2,,,,11,7,507,63,,,,3527,109,23,,,,,,,11,,,225,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2039,399,,3811,,,4,,2,,,3,,,,1,,374,24,,,,3811,,,,,,,,,,,4,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,
2040,1284,8,8825,4,,240,184,,,,76,44,1,,14,37,491,742,,8,,8061,332,432,,4,,,,,238,,2,184,,,,,,,,,,,,,,,76,,,,,,44,,,,1,,,,,,
2041,2379,,5287,,,7,,,,,3,13,,,219,98,2028,34,,,,5269,18,,,,,,,,7,,,,,,,,,,,,,,,,,,3,,,,,,13,,,,,,,,,,
2042,41,,8787,,,31,567,2,,,16,117,,,,,41,,,,,174,6785,1828,,,,,,,,,31,566,,,1,2,,,,,,,,,,,16,,,,,,117,,,,,,,,,,
2043,3,,5239,,,,,,,,,,,,,,3,,,,,16,2451,2772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044,12,91,1855,1024,7,305,34,23,,,440,,14,,,,1,11,,91,,2,1786,67,,1024,,,7,,185,,120,21,,13,,12,,11,,,,,,,,,407,,33,,,,,,,,14,,,,,,
2045,1922,6,139,67,1,179,,,,,13,,14,,453,26,346,1097,,6,,139,,,,67,,,1,,179,,,,,,,,,,,,,,,,,,12,,1,,,,,,,,14,,,,,,
